x-axis,FFT
Hertz,dBV
3.31E+04,-35.92
3.32E+04,-29.50
3.33E+04,-34.99
3.33E+04,-39.42
3.34E+04,-40.77
3.34E+04,-30.10
3.35E+04,-32.96
3.36E+04,-47.86
3.36E+04,-28.10
3.37E+04,-47.61
3.38E+04,-41.71
3.38E+04,-32.38
3.39E+04,-36.06
3.39E+04,-35.26
3.40E+04,-39.96
3.41E+04,-34.26
3.41E+04,-43.60
3.42E+04,-46.53
3.43E+04,-25.25
3.43E+04,-49.12
3.44E+04,-28.90
3.44E+04,-36.56
3.45E+04,-31.54
3.46E+04,-40.05
3.46E+04,-47.38
3.47E+04,-29.25
3.48E+04,-36.31
3.48E+04,-25.91
3.49E+04,-39.35
3.49E+04,-30.99
3.50E+04,-35.54
3.51E+04,-37.41
3.51E+04,-38.07
3.52E+04,-30.13
3.53E+04,-33.01
3.53E+04,-38.70
3.54E+04,-43.81
3.54E+04,-38.93
3.55E+04,-31.35
3.56E+04,-33.15
3.56E+04,-34.56
3.57E+04,-39.74
3.58E+04,-32.73
3.58E+04,-38.20
3.59E+04,-35.26
3.59E+04,-32.25
3.60E+04,-30.82
3.61E+04,-36.81
3.61E+04,-34.92
3.62E+04,-30.02
3.63E+04,-32.11
3.63E+04,-36.73
3.64E+04,-33.00
3.64E+04,-35.07
3.65E+04,-37.73
3.66E+04,-38.84
3.66E+04,-32.33
3.67E+04,-47.67
3.68E+04,-38.21
3.68E+04,-37.41
3.69E+04,-44.68
3.69E+04,-40.80
3.70E+04,-35.61
3.71E+04,-36.71
3.71E+04,-33.07
3.72E+04,-38.66
3.73E+04,-29.25
3.73E+04,-29.12
3.74E+04,-36.30
3.74E+04,-35.83
3.75E+04,-41.57
3.76E+04,-30.54
3.76E+04,-35.41
3.77E+04,-43.71
3.78E+04,-41.63
3.78E+04,-52.95
3.79E+04,-29.81
3.79E+04,-40.35
3.80E+04,-29.59
3.81E+04,-32.09
3.81E+04,-30.56
3.82E+04,-34.12
3.83E+04,-48.25
3.83E+04,-48.52
3.84E+04,-40.02
3.84E+04,-26.41
3.85E+04,-40.00
3.86E+04,-29.22
3.86E+04,-43.02
3.87E+04,-36.60
3.88E+04,-36.01
3.88E+04,-39.74
3.89E+04,-39.02
3.89E+04,-30.98
3.90E+04,-39.99
3.91E+04,-34.85
3.91E+04,-38.06
3.92E+04,-31.29
3.93E+04,-37.08
3.93E+04,-37.57
3.94E+04,-31.61
3.94E+04,-39.70
3.95E+04,-34.74
3.96E+04,-33.15
3.96E+04,-28.58
3.97E+04,-29.82
3.98E+04,-30.30
3.98E+04,-31.28
3.99E+04,-24.63
3.99E+04,-40.22
4.00E+04,-29.90
4.01E+04,-30.40
4.01E+04,-32.03
4.02E+04,-24.59
4.03E+04,-34.00
4.03E+04,-34.00
4.04E+04,-33.90
4.04E+04,-31.63
4.05E+04,-31.04
4.06E+04,-33.07
4.06E+04,-35.45
4.07E+04,-44.04
4.08E+04,-30.84
4.08E+04,-34.32
4.09E+04,-33.70
